Address,Postort,Kommun,Latitude,Longitude
Kungsgatan 44,Karlshamn,Karlshamn,56.171174,14.864172
Drottninggatan 61,Karlshamn,Karlshamn,56.171444,14.860768
Storgatan 25,Asarum,Karlshamn,56.207128,14.833076
Drottninggatan 55,Karlshamn,Karlshamn,56.170602,14.861707
Sölvesborgsvägen 35,Mörrum,Karlshamn,56.184995,14.849359
Holländarevägen 68,Svängsta,Karlshamn,56.262125,14.771503
Drottninggatan 39,Karlshamn,Karlshamn,56.169234,14.862772
Ronnebygatan 44,Karlskrona,Karlskrona,56.162212,15.585801
Ronnebygatan 43,Karlskrona,Karlskrona,56.162042,15.586133
Ronnebygatan 47,Karlskrona,Karlskrona,56.162057,15.585274
Lasarettsvägen 1,Karlskrona,Karlskrona,56.181255,15.604672
Västra riksvägen 11,Jämjö,Karlskrona,56.191654,15.83458
Borgmästaregatan 13,Karlskrona,Karlskrona,56.161467,15.583556
Stationsvägen 20,Lyckeby,Karlskrona,56.196599,15.643006
Verkövägen 5,Lyckeby,Karlskrona,56.19658,15.64085
Idrottsvägen 2,Nättraby,Karlskrona,56.206091,15.52802
Stortorget 10,Karlskrona,Karlskrona,56.161654,15.587182
Ronnebygatan 34,Karlskrona,Karlskrona,56.16219,15.588398
Östra storgatan 34,Olofström,Olofström,56.277556,14.530445
Östra storgatan 11,Olofström,Olofström,56.278041,14.524392
Västra torggatan 7,Ronneby,Ronneby,56.210675,15.276569
Häradsvägen 18,Bräkne-Hoby,Ronneby,56.229089,15.118212
Flisevägen 2,Kallinge,Ronneby,56.245491,15.286248
Östra torggatan 1,Ronneby,Ronneby,56.210156,15.275907
Drottninggatan 11,Ronneby,Ronneby,56.211805,15.275758
Kungsgatan 11,Ronneby,Ronneby,56.211476,15.276252
Stortorget 11,Sölvesborg,Sölvesborg,56.052549,14.587504
Sparbanksgatan 2,Sölvesborg,Sölvesborg,56.051408,14.584301
Centrumvägen 2,Sölvesborg,Sölvesborg,56.046499,14.679321
Södergatan 17,Sölvesborg,Sölvesborg,56.051549,14.583916
Järnvägsgatan 16,Krylbo,Avesta,60.130725,16.213445
Kungsgatan 18,Avesta,Avesta,60.145623,16.170529
Markustorget 1,Avesta,Avesta,60.145881,16.168253
Skogsbovägen 12,Avesta,Avesta,60.158399,16.182311
Marcustorget 1,Avesta,Avesta,60.145881,16.168253
Jaxtorget 1 A,Borlänge,Borlänge,60.483315,15.404136
Stationsgatan 6,Borlänge,Borlänge,60.485144,15.432697
Stationsgatan 8,Borlänge,Borlänge,60.485081,15.432825
Stationsgatan 11,Borlänge,Borlänge,60.485235,15.43316
Hedgatan 1 C,Borlänge,Borlänge,60.440629,15.491203
Kvarnforsplan 4,Borlänge,Borlänge,60.516198,15.414506
Stationsgatan 14,Borlänge,Borlänge,60.484804,15.43338
Kupolen 53,Borlänge,Borlänge,60.4842955,15.417776
Tyllsnäsvägen 4,Borlänge,Borlänge,60.462478,15.476336
Bragegatan 6,Borlänge,Borlänge,60.496581,15.431159
Ovanbrogatan 7,Borlänge,Borlänge,60.482899,15.426538
Norra Backagatan 5 C,Borlänge,Borlänge,60.478562,15.418945
Sveagatan 6,Borlänge,Borlänge,60.486346,15.432001
Åsgatan 24,Falun,Falun,60.608085,15.630189
Korsnäsvägen 136,Falun,Falun,60.595711,15.684071
Nedre heden 1,Falun,Falun,60.624968,15.611904
Åsgatan 33,Falun,Falun,60.606794,15.631493
Mårtsbovägen 2,Bjursås,Falun,60.739596,15.444044
Söderbaums väg,Falun,Falun,60.6095009162785,15.642876704231
Kopparvägen 28,Falun,Falun,60.599045,15.66625
Åsgatan 25,Falun,Falun,60.605998,15.633158
Centrumvägen 3,Svärdsjö,Falun,60.74193,15.903749
Slaggatan 11,Falun,Falun,60.608094,15.628511
Holmgatan 20,Falun,Falun,60.605453,15.63304
Djurås centrum,Gagnef,Gagnef,60.552521,15.129572
Centrumvägen 3,Gagnef,Gagnef,60.56038,15.130568
Åsgatan 49,Hedemora,Hedemora,60.277821,15.98572
Åsgatan 70,Hedemora,Hedemora,60.276908,15.985907
Hökartorget 5,Hedemora,Hedemora,60.278371,15.98615
Riksvägen,Insjön,Leksand,60.6795118131617,15.0805872995016
Leksandsvägen 5,Leksand,Leksand,60.731514,14.997104
Hjultorget 34,Insjön,Leksand,60.675533,15.089683
Sparbanksgatan 1,Leksand,Leksand,60.73099,14.995101
Carlavägen 12,Ludvika,Ludvika,60.149571,15.186769
Kopparbergsvägen 60,Grängesberg,Ludvika,60.076384,15.00763
STORGATAN 15,Ludvika,Ludvika,60.150585,15.186785
Storgatan 26,Ludvika,Ludvika,60.150312,15.185998
