,Befolkning,Total Omsättning,Omsättning per Invånare,Antal Bankomater,Befolknigstäthet,Genomsnittlig Ålder,Antal Transaktioner,Antal Transaktioner Per Bankomat,Genomsnittlig Transaktionsstorlek,Antal Invånare Per Bankomat,Utrikesfödda,Andel utrikesfödda
Fagersta,12620,45981382,1808.439471407221,5,49.6,45,20091,4018.2,2288.6557164899705,2524.0,3621,0.28692551505546754
Fagersta,12553,45981382,1808.439471407221,5,49.5,45,20091,4018.2,2288.6557164899705,2510.6,3526,0.2808890305106349
Fagersta,12569,45981382,1808.439471407221,5,49.5,45,20091,4018.2,2288.6557164899705,2513.8,3526,0.2805314663059909
Fagersta,12698,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2539.6,3510,0.27642148369822017
Fagersta,12619,45981382,1808.439471407221,5,49.6,45,20091,4018.2,2288.6557164899705,2523.8,3621,0.2869482526349156
Fagersta,12573,45981382,1808.439471407221,5,49.8,45,20091,4018.2,2288.6557164899705,2514.6,3483,0.2770221904080172
Fagersta,12697,45981382,1808.439471407221,5,49.9,45,20091,4018.2,2288.6557164899705,2539.4,3435,0.2705363471686225
Fagersta,12630,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2526.0,3510,0.27790973871733965
Fagersta,12712,45981382,1808.439471407221,5,49.9,45,20091,4018.2,2288.6557164899705,2542.4,3435,0.270217117684078
Fagersta,12558,45981382,1808.439471407221,5,49.9,45,20091,4018.2,2288.6557164899705,2511.6,3435,0.2735308170090779
Fagersta,12286,45981382,1808.439471407221,5,48.8,45,20091,4018.2,2288.6557164899705,2457.2,3078,0.2505290574637799
Fagersta,12632,45981382,1808.439471407221,5,49.3,45,20091,4018.2,2288.6557164899705,2526.4,3439,0.27224509183027235
Fagersta,12682,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2536.4,3510,0.27677022551648006
Fagersta,12296,45981382,1808.439471407221,5,48.8,45,20091,4018.2,2288.6557164899705,2459.2,3078,0.2503253090435914
Fagersta,12747,45981382,1808.439471407221,5,49.9,45,20091,4018.2,2288.6557164899705,2549.4,3435,0.26947517062838316
Fagersta,12433,45981382,1808.439471407221,5,49.4,45,20091,4018.2,2288.6557164899705,2486.6,3239,0.26051636773103837
Fagersta,12679,45981382,1808.439471407221,5,49.6,45,20091,4018.2,2288.6557164899705,2535.8,3621,0.2855903462418172
Fagersta,12436,45981382,1808.439471407221,5,49.4,45,20091,4018.2,2288.6557164899705,2487.2,3239,0.26045352203280797
Fagersta,12535,45981382,1808.439471407221,5,49.5,45,20091,4018.2,2288.6557164899705,2507.0,3526,0.28129238133226964
Fagersta,12513,45981382,1808.439471407221,5,49.3,45,20091,4018.2,2288.6557164899705,2502.6,3439,0.27483417246064096
Fagersta,12461,45981382,1808.439471407221,5,49.4,45,20091,4018.2,2288.6557164899705,2492.2,3239,0.2599309846721772
Fagersta,12428,45981382,1808.439471407221,5,49.4,45,20091,4018.2,2288.6557164899705,2485.6,3239,0.26062117798519474
Fagersta,12504,45981382,1808.439471407221,5,49.3,45,20091,4018.2,2288.6557164899705,2500.8,3439,0.27503198976327575
Fagersta,12595,45981382,1808.439471407221,5,49.6,45,20091,4018.2,2288.6557164899705,2519.0,3621,0.2874950377133783
Fagersta,12208,45981382,1808.439471407221,5,48.8,45,20091,4018.2,2288.6557164899705,2441.6,3078,0.252129750982962
Fagersta,12563,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2512.6,3447,0.27437713921833956
Fagersta,12435,45981382,1808.439471407221,5,49.4,45,20091,4018.2,2288.6557164899705,2487.0,3239,0.2604744672295939
Fagersta,12266,45981382,1808.439471407221,5,48.8,45,20091,4018.2,2288.6557164899705,2453.2,3078,0.25093755095385617
Fagersta,12654,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2530.8,3510,0.2773826458036984
Fagersta,12676,45981382,1808.439471407221,5,49.6,45,20091,4018.2,2288.6557164899705,2535.2,3621,0.28565793625749447
Fagersta,12576,45981382,1808.439471407221,5,49.5,45,20091,4018.2,2288.6557164899705,2515.2,3526,0.2803753180661578
Fagersta,12574,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2514.8,3447,0.274137108318753
Fagersta,12616,45981382,1808.439471407221,5,49.3,45,20091,4018.2,2288.6557164899705,2523.2,3439,0.27259036144578314
Fagersta,12561,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2512.2,3447,0.27442082636732745
Fagersta,12680,45981382,1808.439471407221,5,49.9,45,20091,4018.2,2288.6557164899705,2536.0,3435,0.27089905362776023
Fagersta,12679,45981382,1808.439471407221,5,49.3,45,20091,4018.2,2288.6557164899705,2535.8,3439,0.2712359018850067
Fagersta,12706,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2541.2,3510,0.27624744215331337
Fagersta,12549,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2509.8,3447,0.27468324169256514
Fagersta,12436,45981382,1808.439471407221,5,49.4,45,20091,4018.2,2288.6557164899705,2487.2,3239,0.26045352203280797
Fagersta,12564,45981382,1808.439471407221,5,49.5,45,20091,4018.2,2288.6557164899705,2512.8,3526,0.28064310729067177
Fagersta,12508,45981382,1808.439471407221,5,49.5,45,20091,4018.2,2288.6557164899705,2501.6,3526,0.2818995842660697
Fagersta,12653,45981382,1808.439471407221,5,49.6,45,20091,4018.2,2288.6557164899705,2530.6,3621,0.2861771911799573
Fagersta,12569,45981382,1808.439471407221,5,49.5,45,20091,4018.2,2288.6557164899705,2513.8,3526,0.2805314663059909
Fagersta,12615,45981382,1808.439471407221,5,49.5,45,20091,4018.2,2288.6557164899705,2523.0,3526,0.2795085216012683
Fagersta,12447,45981382,1808.439471407221,5,49.4,45,20091,4018.2,2288.6557164899705,2489.4,3239,0.2602233469912429
Fagersta,12644,45981382,1808.439471407221,5,49.8,45,20091,4018.2,2288.6557164899705,2528.8,3483,0.2754666244859222
Fagersta,12723,45981382,1808.439471407221,5,49.9,45,20091,4018.2,2288.6557164899705,2544.6,3435,0.26998349445885406
Fagersta,12624,45981382,1808.439471407221,5,50.0,45,20091,4018.2,2288.6557164899705,2524.8,3510,0.27804182509505704
Fagersta,12650,45981382,1808.439471407221,5,49.8,45,20091,4018.2,2288.6557164899705,2530.0,3483,0.2753359683794466
