;;0114 Upplands Väsby;0115 Vallentuna;0117 Österåker;0120 Värmdö;0123 Järfälla;0125 Ekerö;0126 Huddinge;0127 Botkyrka;0128 Salem;0136 Haninge;0138 Tyresö;0139 Upplands-Bro;0140 Nykvarn;0160 Täby;0162 Danderyd;0163 Sollentuna;0180 Stockholm;0181 Södertälje;0182 Nacka;0183 Sundbyberg;0184 Solna;0186 Lidingö;0187 Vaxholm;0188 Norrtälje;0191 Sigtuna;0192 Nynäshamn;0305 Håbo;0319 Älvkarleby;0330 Knivsta;0331 Heby;0360 Tierp;0380 Uppsala;0381 Enköping;0382 Östhammar;0428 Vingåker;0461 Gnesta;0480 Nyköping;0481 Oxelösund;0482 Flen;0483 Katrineholm;0484 Eskilstuna;0486 Strängnäs;0488 Trosa;0509 Ödeshög;0512 Ydre;0513 Kinda;0560 Boxholm;0561 Åtvidaberg;0562 Finspång;0563 Valdemarsvik;0580 Linköping;0581 Norrköping;0582 Söderköping;0583 Motala;0584 Vadstena;0586 Mjölby;0604 Aneby;0617 Gnosjö;0642 Mullsjö;0643 Habo;0662 Gislaved;0665 Vaggeryd;0680 Jönköping;0682 Nässjö;0683 Värnamo;0684 Sävsjö;0685 Vetlanda;0686 Eksjö;0687 Tranås;0760 Uppvidinge;0761 Lessebo;0763 Tingsryd;0764 Alvesta;0765 Älmhult;0767 Markaryd;0780 Växjö;0781 Ljungby;0821 Högsby;0834 Torsås;0840 Mörbylånga;0860 Hultsfred;0861 Mönsterås;0862 Emmaboda;0880 Kalmar;0881 Nybro;0882 Oskarshamn;0883 Västervik;0884 Vimmerby;0885 Borgholm;0980 Gotland;1060 Olofström;1080 Karlskrona;1081 Ronneby;1082 Karlshamn;1083 Sölvesborg;1214 Svalöv;1230 Staffanstorp;1231 Burlöv;1233 Vellinge;1256 Östra Göinge;1257 Örkelljunga;1260 Bjuv;1261 Kävlinge;1262 Lomma;1263 Svedala;1264 Skurup;1265 Sjöbo;1266 Hörby;1267 Höör;1270 Tomelilla;1272 Bromölla;1273 Osby;1275 Perstorp;1276 Klippan;1277 Åstorp;1278 Båstad;1280 Malmö;1281 Lund;1282 Landskrona;1283 Helsingborg;1284 Höganäs;1285 Eslöv;1286 Ystad;1287 Trelleborg;1290 Kristianstad;1291 Simrishamn;1292 Ängelholm;1293 Hässleholm;1315 Hylte;1380 Halmstad;1381 Laholm;1382 Falkenberg;1383 Varberg;1384 Kungsbacka;1401 Härryda;1402 Partille;1407 Öckerö;1415 Stenungsund;1419 Tjörn;1421 Orust;1427 Sotenäs;1430 Munkedal;1435 Tanum;1438 Dals-Ed;1439 Färgelanda;1440 Ale;1441 Lerum;1442 Vårgårda;1443 Bollebygd;1444 Grästorp;1445 Essunga;1446 Karlsborg;1447 Gullspång;1452 Tranemo;1460 Bengtsfors;1461 Mellerud;1462 Lilla Edet;1463 Mark;1465 Svenljunga;1466 Herrljunga;1470 Vara;1471 Götene;1472 Tibro;1473 Töreboda;1480 Göteborg;1481 Mölndal;1482 Kungälv;1484 Lysekil;1485 Uddevalla;1486 Strömstad;1487 Vänersborg;1488 Trollhättan;1489 Alingsås;1490 Borås;1491 Ulricehamn;1492 Åmål;1493 Mariestad;1494 Lidköping;1495 Skara;1496 Skövde;1497 Hjo;1498 Tidaholm;1499 Falköping;1715 Kil;1730 Eda;1737 Torsby;1760 Storfors;1761 Hammarö;1762 Munkfors;1763 Forshaga;1764 Grums;1765 Årjäng;1766 Sunne;1780 Karlstad;1781 Kristinehamn;1782 Filipstad;1783 Hagfors;1784 Arvika;1785 Säffle;1814 Lekeberg;1860 Laxå;1861 Hallsberg;1862 Degerfors;1863 Hällefors;1864 Ljusnarsberg;1880 Örebro;1881 Kumla;1882 Askersund;1883 Karlskoga;1884 Nora;1885 Lindesberg;1904 Skinnskatteberg;1907 Surahammar;1960 Kungsör;1961 Hallstahammar;1962 Norberg;1980 Västerås;1981 Sala;1982 Fagersta;1983 Köping;1984 Arboga;2021 Vansbro;2023 Malung-Sälen;2026 Gagnef;2029 Leksand;2031 Rättvik;2034 Orsa;2039 Älvdalen;2061 Smedjebacken;2062 Mora;2080 Falun;2081 Borlänge;2082 Säter;2083 Hedemora;2084 Avesta;2085 Ludvika;2101 Ockelbo;2104 Hofors;2121 Ovanåker;2132 Nordanstig;2161 Ljusdal;2180 Gävle;2181 Sandviken;2182 Söderhamn;2183 Bollnäs;2184 Hudiksvall;2260 Ånge;2262 Timrå;2280 Härnösand;2281 Sundsvall;2282 Kramfors;2283 Sollefteå;2284 Örnsköldsvik;2303 Ragunda;2305 Bräcke;2309 Krokom;2313 Strömsund;2321 Åre;2326 Berg;2361 Härjedalen;2380 Östersund;2401 Nordmaling;2403 Bjurholm;2404 Vindeln;2409 Robertsfors;2417 Norsjö;2418 Malå;2421 Storuman;2422 Sorsele;2425 Dorotea;2460 Vännäs;2462 Vilhelmina;2463 Åsele;2480 Umeå;2481 Lycksele;2482 Skellefteå;2505 Arvidsjaur;2506 Arjeplog;2510 Jokkmokk;2513 Överkalix;2514 Kalix;2518 Övertorneå;2521 Pajala;2523 Gällivare;2560 Älvsbyn;2580 Luleå;2581 Piteå;2582 Boden;2583 Haparanda;2584 Kiruna
2018M10;5-14 år;5749;5087;6302;6366;10185;4615;16153;12651;2598;11788;6915;4016;1651;10499;5205;10795;104659;12080;15255;5400;7132;6848;1782;6222;6342;3201;3009;1083;3120;1497;2372;25729;5382;2369;1066;1435;6723;1311;1906;4079;13160;4556;1628;564;396;1118;566;1264;2416;781;18704;17273;1782;5052;703;3317;813;1193;962;1955;3760;1856;16657;3863;4140;1458;3293;1963;2281;1075;1207;1294;2645;2385;1189;11349;3206;736;760;1900;1579;1521;1032;7819;2282;3036;3828;1741;980;6311;1445;7935;3644;3599;1959;1844;3720;2441;5085;1953;1184;2076;4728;4098;3319;1951;2135;1803;2163;1560;1623;1579;953;2014;2289;1531;39125;14331;5514;17236;3342;4316;3200;5357;10085;1746;4855;5871;1443;11883;2906;5106;7533;11935;6046;5476;1599;3588;1727;1502;741;1223;1341;536;725;4221;6507;1448;1308;634;643;724;486;1426;1037;988;1621;4261;1196;1079;1836;1546;1305;1029;61952;8750;5831;1510;6806;1525;4851;7212;5143;13545;2836;1465;2615;4601;2151;6121;1029;1395;4081;1482;916;1072;426;2405;391;1409;973;1066;1366;9775;2619;1131;1054;2760;1700;1097;579;1917;984;720;446;18348;2946;1182;3322;1274;2691;436;1169;1049;1908;649;18077;2648;1641;3076;1464;736;1023;1297;1668;1017;686;771;1164;2271;7041;6519;1255;1659;2592;3059;572;976;1250;1088;2069;11739;4453;2692;3010;4235;914;2073;2876;11558;1767;2041;6546;565;627;2204;1133;1381;737;942;7228;738;272;647;765;478;348;588;238;265;1104;727;254;14387;1414;8119;625;265;438;256;1566;371;596;1684;868;8329;4571;2853;1076;2513
;15-24 år;5140;3845;5123;5039;9086;3094;13619;11739;2088;10641;5858;3298;1212;8345;4340;8653;96870;11584;11555;4581;7359;5393;1383;6140;5722;2951;2533;924;2091;1523;2271;30986;4878;2157;1026;1102;5899;1103;1809;3997;12547;3696;1324;551;345;1024;577;1200;2249;729;23142;16666;1398;4680;737;2944;708;1129;792;1172;3485;1462;17790;3701;3888;1326;3036;1948;2193;1062;986;1265;2112;1805;1094;12334;2987;657;671;1307;1489;1367;960;8345;2114;2925;3560;1723;937;6228;1447;8168;3032;3471;1791;1592;2634;2108;3911;1638;1071;1806;3310;2519;2229;1796;1890;1625;1737;1437;1313;1478;833;2000;1810;1354;36264;19875;5058;16637;2560;3876;2960;4732;9850;1854;4298;5923;1221;11878;2601;4868;6520;9523;4175;4414;1466;2980;1496;1439;788;1050;1197;522;704;3485;4648;1278;937;590;568;626;522;1292;991;982;1428;3839;1108;1031;1691;1378;1179;998;66804;7822;4784;1401;6349;1331;4382;7377;4422;13468;2616;1410;2502;4295;2214;6963;907;1395;3774;1161;802;1163;415;1520;357;1213;875;1087;1429;11899;2431;1232;1118;2691;1662;705;588;1684;1039;764;482;20819;2435;1107;3422;1056;2605;428;1027;925;1736;595;17681;2425;1382;2822;1654;690;1021;1012;1608;1039;759;717;925;1919;6566;6341;980;1625;2341;2736;569;1055;1159;906;1978;11966;4258;2534;2833;3883;932;2029;2679;10990;1816;1922;5730;470;646;1426;1129;1256;686;1039;7136;768;277;521;638;400;338;593;270;235;1039;789;310;17810;1267;7896;628;264;501;307;1599;487;576;1652;911;9991;4707;3064;965;2582
;25-34 år;6293;3459;4661;4736;11141;2270;15459;13141;1790;13504;5296;3980;1151;6973;3056;8420;181877;14677;12297;11282;19114;4963;934;7250;7072;3434;2328;1032;2347;1677;2489;39516;5674;2476;885;1217;6765;1383;1625;4312;14133;3790;1301;532;344;991;605;1175;2473;759;25641;20681;1489;5060;689;3356;850;1129;815;1407;3444;1744;20953;3927;4172;1267;3210;2136;2268;1103;954;1237;2357;2131;1158;13873;3540;598;680;1331;1557;1565;949;10251;2467;3195;3893;1868;920;6603;1529;8656;3337;3794;1913;1745;2431;2243;2822;1792;1134;1786;3153;1663;2234;1770;2202;1922;1755;1528;1368;1508;951;2118;1990;1311;64156;20104;6113;21097;2214;4269;3148;5257;11037;1749;4922;6399;1290;14570;2762;5368;7661;7948;3600;4571;1096;2997;1570;1324;822;1233;1365;564;704;3939;4020;1400;1012;609;611;767;449;1280;1035;1026;1866;3912;1163;1082;1783;1328;1311;991;109571;10250;5420;1400;7485;1703;4787;8244;5003;16351;2753;1292;2940;4945;2337;8750;992;1605;4180;1342;1098;1259;408;1779;407;1247;1014;1136;1456;13817;2790;1168;1161;3005;1709;1032;530;1857;931;772;445;23333;2637;1130;3660;1122;2643;420;1058;900;1988;627;21623;2640;1666;3247;1625;761;1142;1072;1566;1019;785;724;1095;2353;7542;7256;1274;1743;2876;3486;682;1065;1289;1029;2063;13968;4702;2821;3157;4233;990;1958;2998;12644;1885;2034;6526;592;599;1443;1242;1755;783;1093;8980;717;270;540;747;416;306;575;242;250;1084;795;268;22124;1523;8683;775;314;556;350;1695;363;535;2327;930;10866;5128;3491;931;3242
;35-44 år;6454;4738;5815;5804;11061;3870;16638;13754;2249;12838;6359;4087;1471;9428;3763;10097;146672;12839;14787;8022;12875;6141;1410;6245;6730;3236;2783;1032;2862;1388;2281;28343;5000;2169;891;1364;6354;1303;1616;3563;12609;4302;1575;558;374;1000;517;1202;2371;744;19926;17458;1697;4912;663;3332;709;1191;844;1728;3372;1662;16961;3465;3913;1253;2863;1867;2018;1051;1009;1246;2428;2381;1143;11298;3236;613;701;1760;1376;1391;959;8118;2063;2992;3568;1620;960;6310;1321;7988;3349;3426;1941;1805;3604;2606;4466;1606;1131;1946;4470;3487;3201;1933;2127;1820;2101;1523;1461;1438;795;2016;2101;1530;50577;15425;5689;18445;3100;4154;3281;5452;9700;1614;4910;5754;1170;11899;2782;4898;7390;10339;5592;5328;1365;3255;1637;1434;899;1136;1285;502;645;4276;5908;1323;1224;594;581;709;426;1317;924;902;1715;3886;1082;978;1787;1404;1213;949;79805;9467;5419;1393;6357;1667;4257;6844;4933;13669;2771;1287;2452;4481;2035;6386;1024;1289;3696;1357;870;1152;375;2299;338;1331;898;1070;1345;10663;2534;1050;1037;2774;1482;1016;513;1814;974;573;481;18953;2736;1134;3137;1146;2591;401;1111;938;1695;573;18581;2462;1434;2776;1448;614;1090;1103;1570;1013;608;726;1109;2160;7057;5927;1240;1506;2538;2911;573;874;1132;906;1898;12030;4202;2391;2881;3914;890;2049;2686;11775;1723;1932;6398;485;527;1884;1103;1552;649;962;7473;729;210;591;727;393;298;580;245;227;1000;636;261;16388;1253;8306;646;273;464;244;1483;336;423;1820;867;8984;4803;3035;968;2419
;45-54 år;6507;5299;7162;7139;10380;4635;16143;12852;2609;12298;7800;3835;1699;11031;5124;11112;124449;13628;15576;6066;9123;6887;1967;7969;6800;4107;3416;1230;2590;1699;2806;26445;6063;2769;1167;1501;7081;1413;2064;4304;13999;5011;1869;693;473;1291;756;1596;2910;992;19777;18362;1991;6059;985;3666;838;1361;942;1529;4282;1864;17576;4055;4708;1449;3637;2197;2471;1277;1079;1605;2393;2283;1288;11287;3836;747;967;1930;1817;1732;1219;8754;2651;3675;4715;2045;1274;7798;1854;8584;3888;4422;2324;2019;3582;2406;5876;1996;1298;2222;4874;3871;3100;2272;2687;2066;2394;1600;1746;1695;975;2388;2235;1890;39501;14355;5911;19544;3695;4738;3916;6362;11005;2283;5747;7064;1442;12909;3300;5642;8097;12973;5828;5452;1865;3967;2063;2011;1172;1308;1570;596;881;4295;6398;1578;1316;798;741;870;688;1580;1272;1106;1873;4742;1450;1304;2144;1821;1463;1195;70298;9530;6281;1883;7333;1672;5256;7773;5251;14507;3311;1685;3164;5275;2610;7135;1163;1756;4169;1563;1125;1507;560;2321;520;1630;1234;1405;1794;11749;3258;1345;1546;3414;2101;1014;802;2143;1348;889;626;19059;3039;1403;4197;1385;3003;567;1350;1176;2106;703;20535;2940;1811;3416;1819;922;1382;1297;2047;1309;964;894;1432;2614;7333;6586;1399;1999;2943;3335;784;1285;1499;1270;2453;13532;5352;3461;3391;4905;1266;2633;3114;13618;2384;2350;7199;685;935;2042;1366;1463;835;1289;7977;929;287;641;789;504;355;720;322;282;1119;763;323;14908;1461;9282;748;377;664;363;2189;493;650;2276;1036;10496;5527;3638;1143;3130
;55-64 år;4599;3539;4726;5029;8044;3184;11441;9619;1478;8901;4978;2931;1162;7514;3580;7760;103543;10850;10732;5096;7689;5198;1426;8108;4921;3402;2229;1254;1714;1933;2643;22724;5305;2971;1201;1319;6619;1485;2204;4156;11923;4191;1559;656;531;1310;723;1466;2684;1055;16264;15723;1810;5462;1041;3137;955;1154;810;1229;3703;1696;14480;3710;4414;1373;3316;2195;2116;1130;1007;1671;2362;1922;1190;9343;3499;862;971;1929;2019;1792;1297;7505;2576;3126;4970;2018;1637;8003;1744;7349;3445;4002;2241;1612;2333;2024;4043;1737;1360;1851;2992;2468;2169;1870;2577;2004;2029;1799;1499;1578;899;2138;1646;2036;33844;11852;5221;16406;3251;3840;4028;5495;9926;2831;5031;6161;1339;11408;3272;5472;7914;9380;4076;4273;1758;3071;2212;2219;1305;1336;1761;561;902;3140;4365;1376;1107;773;723;855;840;1476;1287;1267;1815;4342;1409;1208;2133;1811;1359;1337;59704;7262;5336;2079;6699;1567;4757;6534;4685;12324;3059;1654;3090;4997;2263;6174;1091;1635;3967;1465;1184;1700;592;1870;512;1285;1202;1271;1919;10399;3169;1360;1884;3285;2027;894;771;1930;1272;912;718;15739;2231;1619;3625;1308;2992;652;1244;1070;1903;800;16724;2825;1581;3225;1761;887;1347;1342;2064;1483;939;980;1551;2611;6954;5907;1511;2170;2984;3289;829;1346;1539;1268;2512;11683;4747;3462;3416;4912;1407;2176;3016;11535;2664;2749;6873;739;929;1775;1695;1387;997;1424;7199;915;305;704;1002;578;454;860;365;413;1012;971;405;12552;1596;9254;866;405;741;540;2270;721;894;2534;1018;9245;5243;3599;1438;2968
;65-74 år;4324;2829;4695;4555;6988;2703;8443;7472;1502;7865;4097;2752;1067;6946;3126;6185;82068;8377;9313;3747;6975;4998;1507;9116;3745;3505;2320;1265;1602;1854;2710;21485;5112;3298;1407;1550;7092;1753;2578;4271;11412;4671;1932;829;612;1410;793;1607;2891;1465;14698;14963;2061;5467;1236;3164;828;1147;1029;1253;3196;1505;13890;3588;3779;1442;3431;2324;2303;1221;1136;1768;2431;1838;1343;9328;3487;840;1119;2346;1943;1838;1298;7435;2530;3438;5529;2056;2050;8311;1722;7786;3790;4065;2372;1514;2370;1752;4497;1794;1319;1622;3350;2476;2250;1907;2565;1923;1915;1820;1717;1684;839;2201;1634;2438;27738;11454;5139;14710;3840;3424;4437;5163;9806;3533;5260;6255;1247;10966;3583;5807;8250;8837;3411;3508;1806;2775;2551;2575;1693;1364;2065;701;960;3095;3963;1417;1123;789;833;1164;916;1589;1568;1388;1624;4303;1539;1301;2035;1896;1378;1338;49474;5798;4748;2338;6140;1626;4619;5962;4940;11292;3074;1669;3320;4901;2293;5785;1397;1536;3694;1633;1127;1746;658;1791;499;1455;1284;1320;1775;10028;3483;1599;1742;3574;2139;979;879;2042;1468;1027;791;15267;2371;1807;3864;1593;3227;753;1425;1197;2046;884;15739;3135;1637;3314;1910;977;1423;1451;2508;1975;1010;1039;1788;3049;7274;5579;1653;2179;3070;3451;997;1373;1774;1479;2843;11323;5031;3891;3743;5394;1362;2382;3573;11504;2992;2856;7353;797;999;1865;1841;1147;1098;1589;7471;1056;348;821;972;612;464;855;357;396;998;954;441;12054;1576;9227;867;400;753;567;2387;816;1092;2252;1111;8621;5656;3858;1665;2526
;75-84 år;2621;1892;2735;2241;4563;1673;4737;4162;1104;4582;2968;1366;632;4904;2335;3896;42346;5435;5283;1864;3867;3195;744;5460;2548;2081;1232;730;694;1121;1609;11649;3016;1916;729;816;4499;1170;1482;2512;6848;2556;1028;440;343;902;444;1040;1809;740;9288;8742;1148;3260;787;1977;485;573;493;694;2035;923;8770;2113;2485;886;2156;1394;1614;738;621;1137;1400;1089;874;5681;2232;500;639;1291;1258;1139;883;4410;1785;2282;3494;1294;1266;4943;1270;4873;2495;2804;1536;787;1764;1139;2945;1077;812;938;1958;1960;1211;987;1409;1092;1138;1114;1045;1124;549;1262;918;1554;16473;6613;2996;8953;2301;2061;2701;3276;6060;2129;3315;4167;772;7074;1991;3473;4712;5660;1968;2089;1010;1800;1340;1419;881;859;1129;464;517;1858;2691;752;633;439;445;676;508;907;886;810;842;2502;853;709;1246;1048;974;740;27379;3501;3191;1377;4012;969;3059;3692;3003;7271;1888;1139;2203;3070;1365;3662;785;1027;2457;905;657;1116;327;1017;389;911;769;790;1041;6218;2067;905;1231;2155;1470;535;523;1161;897;736;495;8709;1420;1062;2641;976;1846;415;836;666;1326;486;9957;1771;1051;2032;1255;646;893;806;1401;1099;619;685;967;1772;4118;3470;870;1255;1919;2113;432;801;1026;822;1628;6921;3211;2262;2275;2983;873;1359;2159;7343;1634;1856;4609;536;556;995;1127;623;662;977;4322;647;253;466;545;390;286;599;259;279;639;584;286;6760;1039;5749;630;274;459;395;1639;481;752;1608;724;5458;3180;2241;858;1735
;85-94 år;691;519;771;593;1481;443;1538;1169;304;1186;883;362;128;1639;981;1305;17235;1728;1808;679;1567;1400;184;1811;651;596;284;254;222;415;654;4264;1056;658;245;247;1619;412;505;1036;2425;827;252;181;126;311;161;357;660;271;3771;3165;371;1220;298;726;178;254;195;180;793;339;3516;915;926;387;915;561;667;329;245;529;625;521;338;2139;897;183;222;366;505;445;318;1711;665;775;1264;504;410;1679;467;1707;931;1045;511;278;515;356;776;377;292;292;562;612;386;337;468;441;405;390;350;449;213;491;294;551;6868;2352;1027;3393;825;745;1027;1148;2367;754;1320;1620;328;2607;753;1400;1785;1752;682;893;350;575;416;465;371;362;444;141;212;496;834;264;182;209;172;240;189;366;392;356;283;1042;273;262;462;326;350;266;10752;1368;1185;535;1605;353;1081;1438;1125;2855;729;443;793;1091;496;1388;281;415;1036;332;278;462;124;336;174;292;273;314;456;2443;817;417;472;949;575;191;216;388;275;261;152;3294;469;312;914;288;648;141;273;220;497;178;3713;684;421;811;403;223;302;270;510;477;248;263;289;630;1490;1238;307;478;718;917;198;310;380;268;640;2313;1055;839;815;1097;326;402;741;2484;640;716;1673;212;222;321;443;215;240;366;1571;234;126;223;222;123;104;227;103;127;228;223;127;2378;378;2079;216;111;162;150;543;170;232;568;296;1825;1077;815;267;591
2018M11;5-14 år;5762;5094;6316;6371;10220;4631;16142;12639;2598;11785;6924;4024;1655;10527;5206;10813;104595;12099;15271;5403;7110;6848;1786;6233;6366;3223;3013;1095;3124;1499;2370;25764;5408;2367;1062;1437;6722;1319;1908;4089;13173;4560;1625;563;394;1121;566;1267;2417;789;18722;17277;1786;5051;703;3320;812;1194;956;1954;3773;1857;16670;3847;4140;1461;3298;1968;2280;1080;1203;1295;2653;2394;1198;11370;3208;739;760;1903;1581;1518;1038;7823;2281;3038;3832;1748;981;6327;1453;7929;3642;3598;1958;1837;3730;2444;5097;1955;1184;2079;4744;4099;3325;1955;2133;1805;2170;1567;1628;1586;955;2015;2293;1533;39078;14343;5520;17243;3351;4322;3209;5358;10099;1743;4866;5860;1432;11892;2923;5111;7550;11955;6051;5483;1604;3591;1732;1509;741;1229;1348;536;727;4220;6515;1447;1314;633;645;720;492;1419;1041;983;1629;4276;1196;1079;1839;1541;1307;1020;61940;8735;5846;1508;6811;1524;4853;7224;5156;13547;2829;1462;2612;4599;2150;6121;1037;1393;4089;1475;917;1073;426;2404;394;1415;968;1064;1367;9790;2619;1133;1055;2763;1700;1098;573;1932;986;717;445;18384;2943;1177;3319;1273;2677;439;1170;1046;1905;649;18107;2656;1651;3079;1474;742;1019;1299;1666;1015;684;775;1170;2277;7054;6521;1255;1662;2587;3059;574;980;1251;1091;2072;11746;4454;2700;3006;4239;926;2081;2865;11554;1770;2048;6548;571;629;2203;1137;1381;740;939;7232;740;270;646;764;478;348;589;240;259;1102;727;254;14396;1413;8120;630;265;441;256;1568;371;597;1685;874;8325;4571;2861;1077;2517
